Id,Agency,Posting_Type,Nr_of_Positions,Classification,Job_Category,FullPart_Time,Career_Level,Salary_From,Salary_To,Salary_Frequency,Work_Location,Work_Unit,Posting_Date,Posting_Updated,Salary_Index,ACR
552776,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,Social Services,F,Experienced (non-manager),40062,46071,Annual,"1790 Grand Concourse, Bronx",Hasa Hiv/Aids Svcs Admin-NM,09/23/2022,01/12/2023,8.953534303534303,HDOSS
551036,LAW DEPARTMENT,Internal,3,Competitive-1,Legal Affairs,F,Experienced (non-manager),43197,49677,Annual,"100 Church St., N.Y.",Tort: New York,09/14/2022,12/06/2022,9.654261954261955,LD
539046,CIVILIAN COMPLAINT REVIEW BD,Internal,2,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),63228,96526,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd,08/03/2022,09/22/2022,16.606444906444906,CIVILIAN COMPLAINT REVIEW BD
567259,DEPARTMENT OF BUILDINGS,External,2,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,107424,Annual,NYC - All Boroughs,Citywide,01/04/2023,01/04/2023,16.74906444906445,DEPARTMENT OF BUILDINGS
550674,NYC HOUSING AUTHORITY,Internal,1,Competitive-1,Legal Affairs,F,Experienced (non-manager),84451,105000,Annual,Procedures Development & Admin,Regulatory and Contract Compl,09/21/2022,09/22/2022,19.693451143451142,NHA
535325,LAW DEPARTMENT,External,3,Exempt-4,Legal Affairs,F,Experienced (non-manager),73579,122643,Annual,198 E 161st Street,Family Court: Bronx,06/14/2022,06/28/2022,20.397297297297296,LD
552167,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,Administration & Human Resources Constituent Services & Community Programs Health,F,Entry-Level,47418,69462,Annual,"125 Worth Street, Nyc",Vital Statistics/Vital Recor,12/30/2022,12/30/2022,12.14968814968815,DOHMH
551022,TAXI & LIMOUSINE COMMISSION,Internal,1,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),56318,78000,Annual,"31-00 47 Ave, 3 FL, LIC NY",Administrative Services,09/14/2022,09/14/2022,13.962370062370063,TAXI & LIMOUSINE COMMISSION
549033,CONSUMER AND WORKER PROTECTION,Internal,1,Competitive-1,Legal Affairs,F,Experienced (non-manager),40017,52242,Annual,"42 Broadway, N.Y.",General Counsel's Office,09/01/2022,01/09/2023,9.59033264033264,CONSUMER AND WORKER PROTECTION
558059,NYC HOUSING AUTHORITY,External,1,Competitive-1,Constituent Services & Community Programs,F,Manager,80931,208826,Annual,Office of the Director,REES,11/07/2022,11/07/2022,30.12027027027027,NHA
528940,DEPT OF PARKS & RECREATION,Internal,1,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),115000,120000,Annual,"Arsenal 830 Fifth Ave, New Yor",Asst Comm for Inn & Per Mgmt,04/15/2022,05/05/2022,24.428274428274428,DEPT OF PARKS & RECREATION
557660,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),70611,81203,Annual,4 World Trade Center,Employment/Contract Svcs-NM,10/25/2022,01/13/2023,15.781081081081082,HDOSS
554185,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),64922,173486,Annual,"10 Walker Rd, Valhalla NY10595",UPSTATE CAPITAL CONSTR. - IFA,10/25/2022,12/16/2022,24.78253638253638,DOEP
565822,NYC HOUSING AUTHORITY,Internal,1,Competitive-1,Administration & Human Resources,F,Entry-Level,40017,62820,Annual,Bronx Floating Staff,Bronx Property Management,01/13/2023,01/13/2023,10.68991683991684,NHA
515122,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,"Constituent Services & Community Programs Health Public Safety, Inspections, & Enforcement",P,Experienced (non-manager),41.6935,41.6935,Hourly,NYC - All Boroughs,Medical Services,11/23/2022,11/23/2022,41.6935,DOHMH
534211,NYC HOUSING AUTHORITY,External,1,Competitive-1,"Policy, Research & Analysis Social Services",F,Manager,102292,163512,Annual,LHD-PH MANAGEMENT SVCS,Management Services Department,06/09/2022,06/09/2022,27.63035343035343,NHA
564907,OFFICE OF THE COMPTROLLER,Internal,1,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,110000,130000,Annual,"1 Centre St., N.Y.",Asset Management,12/15/2022,12/15/2022,24.948024948024948,OFFICE OF THE COMPTROLLER
527815,NYC HOUSING AUTHORITY,External,1,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),29.98,31.16,Hourly,Manhattan Floating Staff,Manhattan Property Management,04/13/2022,05/12/2022,30.57,NHA
551216,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),74730,130000,Annual,59-17 Junction Blvd Corona Ny,EXECUTIVE ADMINISTRATION,09/16/2022,11/15/2022,21.281704781704782,DOEP
566744,HUMAN RIGHTS COMMISSION,External,1,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,117541,Annual,"22 Reade St, Ny",Law Enforc.Bureau Executive,12/29/2022,12/29/2022,20.494906444906444,HUMAN RIGHTS COMMISSION
540462,DEPARTMENT OF CORRECTION,External,10,Non-Competitive-5,Health,P,Experienced (non-manager),78.04,83.61,Hourly,59-17 Junction Blvd Corona Ny,HMD-Civilian Staff,07/14/2022,07/14/2022,80.825,DOC
460437,FINANCIAL INFO SVCS AGENCY,External,1,Non-Competitive-5,"Technology, Data & Innovation",F,Student,16.02,19.3,Hourly,5 Manhattan West,Op Risk Management,03/29/2021,04/15/2021,17.66,FINANCIAL INFO SVCS AGENCY
554805,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),58695,75197,Annual,30-30 Thomson Ave L I City Qns,Hrsd/Personnel,11/28/2022,12/02/2022,13.918087318087318,DODC
203387,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,Health,P,Experienced (non-manager),18.8112,24.2923,Hourly,295 Flatbush Ext Brooklyn,BPHC Health Equity,08/03/2015,08/03/2015,21.55175,DOHMH
553817,TAXI & LIMOUSINE COMMISSION,Internal,1,Competitive-1,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),40017,62820,Annual,"33 Beaver St, New York Ny",Legal Affairs,10/04/2022,10/04/2022,10.68991683991684,TAXI & LIMOUSINE COMMISSION
354234,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),60.84,60.84,Hourly,421 East 26th Street NY NY,OCME - Human Resources,07/17/2018,11/02/2018,60.84,DOHMH
530171,DEPT OF HEALTH/MENTAL HYGIENE,External,3,Non-Competitive-5,Health,F,Experienced (non-manager),70349,70349,Annual,421 East 26th Street NY NY,OCME - Forensic Biology,08/09/2022,08/09/2022,14.625571725571726,DOHMH
565676,DEPARTMENT OF TRANSPORTATION,Internal,1,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),94283,115000,Annual,55 Water St Ny Ny,IT & Telecom,12/28/2022,01/06/2023,21.754989604989603,DOT
534561,NYC HOUSING AUTHORITY,Internal,1,Competitive-1,"Technology, Data & Innovation Building Operations & Maintenance",F,Manager,72038,192152,Annual,Elevator Svcs & Repair (C.O.),Elevator Services &Repair Dept,06/30/2022,06/30/2022,27.462577962577964,NHA
563420,NYC HOUSING AUTHORITY,External,1,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual,Health Initiatives,Resident Health Initiatives,12/20/2022,12/20/2022,14.353534303534303,NHA
566544,CONSUMER AND WORKER PROTECTION,Internal,1,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),47418,54531,Annual,"42 Broadway, N.Y.",Licensing Q/A,12/28/2022,12/28/2022,10.597609147609148,CONSUMER AND WORKER PROTECTION
542032,DEPARTMENT OF TRANSPORTATION,Internal,1,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,75760,Annual,55 Water St Ny Ny,Legal Affairs,07/28/2022,07/28/2022,14.361434511434512,DOT
554029,OFFICE OF MANAGEMENT & BUDGET,External,1,Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,65604,73806,Annual,255 Greenwich Street,Revenue/Economic Anal,10/04/2022,10/04/2022,14.491683991683992,OFFICE OF MANAGEMENT & BUDGET
506805,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,Administration & Human Resources,NA,Experienced (non-manager),58695,89699,Annual,55 Water St Ny Ny,Payroll and Timekeeping,12/10/2021,12/15/2021,NA,DOT
561102,DEPT OF HEALTH/MENTAL HYGIENE,External,2,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,45722,Annual,NYC - All Boroughs,Food Safety & Community Sanit,11/29/2022,11/29/2022,9.505613305613306,DOHMH
530171,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,Non-Competitive-5,Health,F,Experienced (non-manager),70349,70349,Annual,421 East 26th Street NY NY,OCME - Forensic Biology,08/09/2022,08/09/2022,14.625571725571726,DOHMH
559768,DEPARTMENT OF TRANSPORTATION,Internal,1,Non-Competitive-5,"Technology, Data & Innovation Policy, Research & Analysis",F,Experienced (non-manager),75504,94761,Annual,55 Water St Ny Ny,Franchise/Concessions/Consents,11/07/2022,11/07/2022,17.699064449064448,DOT
568460,OFFICE OF MANAGEMENT & BUDGET,External,2,Pending Classification-2,"Legal Affairs Policy, Research & Analysis",F,Entry-Level,51550,73806,Annual,255 Greenwich Street,General Counsels Office,01/13/2023,01/13/2023,13.03076923076923,OFFICE OF MANAGEMENT & BUDGET
548108,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,Health,F,Experienced (non-manager),66442,72000,Annual,NYC - All Boroughs,Child Care,10/31/2022,01/09/2023,14.391060291060292,DOHMH
563937,DEPARTMENT OF CORRECTION,Internal,1,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Entry-Level,38333,44083,Annual,75-20 Astoria Blvd,Adult Offender Pgms.,12/07/2022,12/07/2022,8.567151767151767,DOC
563625,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,Health,F,Experienced (non-manager),71379,82086,Annual,42-09 28th Street,Mental Health,12/06/2022,12/29/2022,15.952702702702704,DOHMH
546999,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Non-Competitive-5,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),75000,120000,Annual,"1 Metro Tech, Brooklyn Ny",HHS Connect-NM,08/19/2022,12/05/2022,20.27027027027027,HDOSS
538923,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),58695,89699,Annual,100 Gold Street,End Gender Based Violence NM,07/05/2022,07/29/2022,15.425571725571725,HDOSS
543064,NYC HOUSING AUTHORITY,Internal,9,Non-Competitive-5,"Administration & Human Resources Engineering, Architecture, & Planning",F,Experienced (non-manager),54100,83981,Annual,Chief Asset & Cap Mgt Officer,Chief Asset & Cap Mgt Officer,08/17/2022,08/26/2022,14.353534303534303,NHA
560639,NYC HOUSING AUTHORITY,External,1,Competitive-1,Communications & Intergovernmental Affairs,F,Executive,88936,223761,Annual,Office of the CEO,Office of the Chief Executive,11/30/2022,11/30/2022,32.504885654885655,NHA
535488,ADMIN FOR CHILDREN'S SVCS,External,1,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual,560 Brook Avenue Bronx New Yor,Horizon Juvenile Center,06/24/2022,11/09/2022,12.09095634095634,AFCS
531834,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),67757,98128,Annual,55 Water St Ny Ny,Office of Bicycle/Pedes Prgms,05/15/2022,05/31/2022,17.243762993762992,DOT
536458,DEPARTMENT OF BUSINESS SERV.,External,2,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),51132,78966,Annual,1 Liberty Plaza NYC,Neighborhood Development,06/30/2022,12/30/2022,13.523700623700623,DEPARTMENT OF BUSINESS SERV.
558364,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),65877,93984,Annual,"329 Greenpoint Ave., Brooklyn",MARINE SCIENCES,11/15/2022,11/15/2022,16.61756756756757,DOEP
551682,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),94715,136260,Annual,96-05 Horace Harding Expway,ENVIRON HEALTH/SAFETY - BWT,09/20/2022,09/20/2022,24.00987525987526,DOEP
559261,NYC HOUSING AUTHORITY,Internal,1,Labor-3,Building Operations & Maintenance,F,Entry-Level,31377,38741,Annual,QN/SI Neighborhood 03,Queens/SI Property Mgmt,11/16/2022,12/27/2022,7.2887733887733885,NHA
538833,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,Experienced (non-manager),57078,85646,Annual,55 Water St Ny Ny,Facilities Maintenance,07/05/2022,07/06/2022,14.836174636174636,DOT
554121,FIRE DEPARTMENT,External,1,Non-Competitive-5,Health,F,Experienced (non-manager),87934,87934,Annual,"9 Metrotech Center, Brooklyn N",Medical,10/04/2022,10/20/2022,18.28149688149688,FIRE DEPARTMENT
552900,TAXI & LIMOUSINE COMMISSION,External,1,Competitive-1,Constituent Services & Community Programs Legal Affairs,F,Experienced (non-manager),37413,60310,Annual,"31-00 47 Ave, 3 FL, LIC NY",Prosecution Division,09/27/2022,09/27/2022,10.158316008316008,TAXI & LIMOUSINE COMMISSION
565122,OFFICE OF THE COMPTROLLER,Internal,1,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),100000,125000,Annual,"1 Centre St., N.Y.",Information Systems,12/15/2022,12/15/2022,23.388773388773387,OFFICE OF THE COMPTROLLER
567636,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),101016,105000,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E/Architecture,01/09/2023,01/09/2023,21.415384615384614,DODC
565871,DEPARTMENT OF CORRECTION,External,1,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),64857,74585,Annual,75-20 Astoria Blvd,Quality Assurance & Integrity,12/21/2022,12/21/2022,14.495010395010395,DOC
540457,DEPARTMENT OF CORRECTION,External,1,Non-Competitive-5,Health,NA,Experienced (non-manager),82.23,117.52,Daily,59-17 Junction Blvd Corona Ny,HMD-Civilian Staff,07/14/2022,07/14/2022,NA,DOC
566280,DEPARTMENT OF CORRECTION,External,1,Non-Competitive-5,"Constituent Services & Community Programs Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual,75-20 Astoria Blvd,Commissioner,12/27/2022,12/27/2022,18.877962577962577,DOC
538686,DEPARTMENT OF TRANSPORTATION,External,3,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),62470,80008,Annual,55 Water St Ny Ny,Grant Administration,07/08/2022,07/07/2022,14.81060291060291,DOT
420619,LAW DEPARTMENT,Internal,1,Competitive-1,Legal Affairs,F,Experienced (non-manager),59305,59305,Annual,"350 Jay St, Brooklyn  Ny",Operations,10/25/2019,06/25/2020,12.329521829521829,LD
209609,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,Clerical & Administrative Support,NA,Experienced (non-manager),28965,43152,Annual,42-09 28th Street,MH - Assisted out Treatment,08/25/2015,08/31/2015,NA,DOHMH
526868,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Technology, Data & Innovation Social Services",F,Experienced (non-manager),71707,82463,Annual,4 World Trade Center,Off Of Qual Asse-Fisc Int NM,10/19/2022,01/11/2023,16.025987525987524,HDOSS
553441,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),70611,81203,Annual,4 World Trade Center,Office Of HR Solutions-NM,09/29/2022,12/09/2022,15.781081081081082,HDOSS
555002,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,45722,Annual,22 Cortlandt Street,Pest Control Services,10/28/2022,10/28/2022,9.505613305613306,DOHMH
547191,DEPARTMENT OF CORRECTION,Internal,2,Non-Competitive-5,Legal Affairs,F,Manager,125000,135000,Annual,75-20 Astoria Blvd,Office of Trials,08/22/2022,10/19/2022,27.027027027027028,DOC
558032,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),41483,66236,Annual,59 Maiden Lane,Litigation Svs and Record Mgmt,11/02/2022,11/02/2022,11.197401247401247,DOT
520079,TECHNOLOGY & INNOVATION,Internal,3,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),54281,77250,Annual,80 Maiden Lane,CYBER ADMIN & OPERATIONS,08/19/2022,10/14/2022,13.672661122661122,TECHNOLOGY & INNOVATION
565700,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),94715,105000,Annual,253 Broadway New York Ny,Off Of Supp Accountability-NM,12/20/2022,01/13/2023,20.760395010395012,HDOSS
554402,DEPT OF ENVIRONMENT PROTECTION,Internal,10,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,51413,59125,Annual,59-17 Junction Blvd Corona Ny,"CAP. PLAN. - ADMIN.,BLUEBELT",11/16/2022,11/16/2022,11.490436590436591,DOEP
366783,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),39797,45766,Annual,421 East 26th Street NY NY,OCME - Human Resources,09/21/2018,09/21/2018,8.894282744282744,DOHMH
564835,DEPT OF HEALTH/MENTAL HYGIENE,Internal,8,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),66442,91234,Annual,NYC - All Boroughs,Child Care,12/13/2022,01/11/2023,16.39043659043659,DOHMH
561334,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,Experienced (non-manager),64749,134280,Annual,96-05 Horace Harding Expway,BWT - ADMINISTRATION/PERSONNEL,12/20/2022,12/20/2022,20.689085239085237,DOEP
541318,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,Health,F,Experienced (non-manager),42150,58163,Annual,421 East 26th Street NY NY,OCME - Administration,08/08/2022,12/13/2022,10.427546777546777,DOHMH
530526,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),53057,61015,Annual,375 Pearl Street,Office Of Revenue/Admin-NM,04/29/2022,07/06/2022,11.857796257796258,HDOSS
530788,POLICE DEPARTMENT,External,1,Competitive-1,Health,F,Experienced (non-manager),73546,96006,Annual,"90 Church St, Ny Ny 12Th Floor",HEALTH AND WELLNESS SEC/CIV,05/19/2022,01/06/2023,17.624948024948026,POLICE DEPARTMENT
558349,DEPT OF ENVIRONMENT PROTECTION,External,1,Non-Competitive-5,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,Manager,94283,122290,Annual,96-05 Horace Harding Expway,PLANNING & ANALYSIS,11/15/2022,12/06/2022,22.51278586278586,DOEP
523073,OFFICE OF MANAGEMENT & BUDGET,Internal,1,Pending Classification-2,"Finance, Accounting, & Procurement Legal Affairs",F,Manager,98388,98388,Annual,255 Greenwich Street,Office of Budget Review,03/07/2022,03/07/2022,20.454885654885654,OFFICE OF MANAGEMENT & BUDGET
541745,DEPARTMENT OF TRANSPORTATION,External,1,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,75760,Annual,55 Water St Ny Ny,Legal Affairs,07/27/2022,07/27/2022,14.361434511434512,DOT
555488,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,65640,Annual,30-30 Thomson Ave L I City Qns,Infra/Constr. Mgmt2/S.East Qns,11/07/2022,12/30/2022,12.756548856548857,DODC
560470,OFF OF PAYROLL ADMINISTRATION,Internal,1,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),56013,80000,Annual,5 Manhattan West,Fiduciary Accounting,11/09/2022,12/06/2022,14.138565488565488,OFF OF PAYROLL ADMINISTRATION
563225,HOUSING PRESERVATION & DVLPMNT,Internal,1,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),60000,70000,Annual,100 Gold Street,Conversions Unit,12/01/2022,12/01/2022,13.513513513513514,HPD
543797,DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,Competitive-1,Administration & Human Resources Communications & Intergovernmental Affairs Health,F,Experienced (non-manager),40017,50000,Annual,NYC - All Boroughs,Child Care,11/02/2022,11/02/2022,9.357276507276508,DOHMH
546775,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,"Finance, Accounting, & Procurement Health",F,Experienced (non-manager),70611,81203,Annual,42-09 28th Street,Early Intervention,01/05/2023,01/05/2023,15.781081081081082,DOHMH
559494,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),34834,50207,Annual,375 Pearl Street,OFFICE POLICE OPS - NM,11/03/2022,12/06/2022,8.84002079002079,HDOSS
562783,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),51132,78966,Annual,42-09 28th Street,Acco/Contracts,11/29/2022,12/09/2022,13.523700623700623,DOHMH
567155,DEPT OF ENVIRONMENT PROTECTION,External,1,Non-Competitive-5,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis Social Services",F,Experienced (non-manager),75504,94761,Annual,59-17 Junction Blvd Corona Ny,ENVIRONMENTAL PLANNING,01/09/2023,01/09/2023,17.699064449064448,DOEP
550765,ADMIN FOR CHILDREN'S SVCS,External,1,Competitive-1,Social Services,F,Experienced (non-manager),73027,83981,Annual,151-20 Jamaica Avenue,Family assessment Program-YFJ,12/30/2022,12/30/2022,16.32099792099792,AFCS
536290,FIRE DEPARTMENT,Internal,3,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55337,84833,Annual,"9 Metrotech Center, Brooklyn N",Explosives Control,06/24/2022,06/24/2022,14.57068607068607,FIRE DEPARTMENT
546727,DEPT OF PARKS & RECREATION,External,1,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),85000,95000,Annual,24 West 61 Street,Information Technology,08/19/2022,10/12/2022,18.71101871101871,DEPT OF PARKS & RECREATION
566426,DEPARTMENT OF CORRECTION,External,1,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual,75-20 Astoria Blvd,Commissioner,12/28/2022,01/03/2023,18.877962577962577,DOC
558398,DEPT OF ENVIRONMENT PROTECTION,Internal,3,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),90114,122168,Annual,96-05 Horace Harding Expway,PROJECT MANAGEMENT AND CONSTR.,11/14/2022,12/05/2022,22.066735966735965,DOEP
554160,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),54100,83981,Annual,96-05 Horace Harding Expway,ENVIRON HEALTH/SAFETY - BWT,10/05/2022,10/05/2022,14.353534303534303,DOEP
534213,OFFICE OF EMERGENCY MANAGEMENT,Internal,1,Pending Classification-2,"Technology, Data & Innovation Policy, Research & Analysis",F,Experienced (non-manager),65000,79000,Annual,165 Cadman Plaza East,Office of Strategic Operations,08/18/2022,08/22/2022,14.96881496881497,OFFICE OF EMERGENCY MANAGEMENT
486612,HRA/DEPT OF SOCIAL SERVICES,Internal,3,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),60793,69912,Annual,88-11 165 Street Jamaica,FIA Operations-NM,10/06/2021,07/20/2022,13.586798336798337,HDOSS
